Nom,Contact
OLVAC,MR ERIC LIMOZIN
VILMORIN JARDIN,
ELOYDIS,ANDRE PHILIPPE JEAN-MARIE
BONIFICHE FERRARESI SPA,
EARL D'URICHAMP,MR OLIVIER DUBOIS
GAEC NONET,MR NONET
SCEA DE PLAIX,MR STEPHANE ROTINAT
SCEA DE L'ISLE,MR ERWAN LEMINTIER
EARL HIEBLES NOUVELLE,MR JEREMY MARCHAND
GUILLAUME MILARD,MR BERTRAND MILARD
GAEC GALAIS,MR VINCENT GALAIS
SCEA DU CHARME,MR STEPHANE ROTINAT
PERLE ORIENT SUD,HELALI MOHAMED
LEGUMBRES LA COCHURA,EULOGUO SANCHEZ
MICOULEAU,
DUHAMEL,
d'aucy,flore
DUHAMEL,
AGRI-STAR (DALIAN) CO, LTD,
ARDO GOURIN SAS,
BONDUELLE CANADA,
TECNO FARM SRL,
EARL DES RIGOLETTES,
DALIAN JIAHE GRAIN CO., LTD,
AGROSAF GIDA LTD.,
SARL DU MAIL / BIO GASCOGNE,MR MELIET NICOLAS MICHEL
BALTUSSEN KONSERVENFABRIEK N.V.,+31(0)264799033
LES RESTAURANTS DU COEUR,
MEMISOGLU TARIM URUNLERI TIC. LTD. STI.,
ACHKOUN ,NASSER TANIT
BAR LAKOL,
MALLCROP INTERNATIONAL,
OGEREAU EARL,
EARL DE LA GARDE,
GAEC DE LA FOYE,
STEF MIDI PYRENEE LIMOUSIN,
DURAND TRANSP-LOG,
FM LOGISTIC FONTENAY TRESIGNY,
GRAINS D'OC,
SAS MANON,
LINDELAUF GRANEN,ERIC LINDELAUF
CAMARGUE PRODUCTION,MR CUILLE FRANCOIS
SCEA DE LA FOYE,HERVE MIJOIN
schmid kevin,
GANSU LONGRUN IMPORT AND EXPORT CO.,LTD,
AFRIMER EUROPE,
KERVAN FOODS B.V.,
BARAKA MARKET,
EUROCOM,CAROLINA GRIMALDI
MOULIN MARION MEUNERIE SAS,PELLETIER MARIA
VAL DISTRIBUTION / SUPER K,
SARL LES GRENIERS DU PRADAS,M URBAN CHRISTOPHE
GEANT FRAIS,DAOUDI DENIEL
DELLA PERUTA VINCENZO S.p.a,
CONO,
SAVEUR DE METS,
FEGER DI GERARDO FERRAIOLI S.P.A,
WOODS FOOD SERVICE,
SAS NICE DISTRIBUTION,
PASFROST NV,
ISANA NATURFEINKOST GmbH & Co. KG,
IMPROVE,MR DENIS CHEREAU
VOICEVAL FRANCE,
F.A TRADING,DELATOUCHE Jean-Marc
J.P INTERCONTINENTAL,PALOUX JEAN
COEXO LAURES,JEAN LUC MONCEAUX
POITTEMILL SA,
JOSE ABRIL S.L,
SBS DISTRIBUTION,SAID
COLECESA,
MAS BAKLIYAT HUBUBAT SAN. VE TIC. LTD. STI,
MAS BAKLIYAT HUBUBAT SAN. VE TIC. LTD. STI,
JONA - RESTAURANT AU FALAFEL,
BONDUELLE POLSKA S.A,
LES METS DE PROVENCE,MME BERNARD
LOC-NAM,MME SY HELENE
SARL ORSONNEAU,
S.A.S DORIENT/ GOLFE DORIENT,
KANEMATSU CORPORATION,
F & H AGRO FOOD,MR DAHMANI
Gansu cheng sheng original grain,
LOOS ALIMENTS BRONGNIART ET FILS,
CAT ARC EN CIEL,
PHOCENNE DES VIANDES HALLAL,
AGROTRADE SAS,
NEGOBEAUCE,
TAISHIN COMPANY LTD,
LA PALME D'OR,
HAFSI MAROUENE,
LA CENTRALE DU THE SARL,KARIM
AGROSAF GIDA IC VE DIS TIC. LTD. STI,
FLEXATRANS,
EARL DENNEQUIN,
AGT FOODS EUROPE BV,
TRADING NEGOCE,
INDUSTRIAS RACIONERO S.A.,Gonzalo de la Cierva
BEAUGEARD,
EARL DU BOIS MITET,
CONSERVAS HIJOS DE MANUEL SANCHEZ BASARTE S A U,
AYECUE INIESTA, S.A.U,
TOYOTA TSUSHO FOODS CORPORATION,
TERR'LOIRE,
NOLA GmBH,COGESER HERMANN
ETS MOULIN,FONTAINE CHRISTOPHE PIERRE
FM LOGISTIC FONTENAY TRESSIGNY,
DURAND TRANSP-LOG,
BRAVO FOOS B.V,COGESER HERMANN
ASSOCIATION BKOL,ERIC BOUCHOUCHA
ACCESSIT TECHNOLOGIES SASU,
SECOURS POPULAIRE FRANCAISE,SANDRA LEPEZ
GANSU YASHENG INTERNATIONALTRADING CO LTD,
UN AIR D'ICI,JOSIANE MARTIN
DANONE  RESEARCH,Saliha BELAID
SUGIHARA INDUSTRIAL CO LTD,
LA FOURCHE - VRAC,BORIS METON
GREENYARD FROZEN POLAND SP Z.O.O ,STEFAAN
EARL VIGOT,VIGOT
EARL DE BEL AIR,MR PINON
SCEA DE LA TOURNELLE,SCHUMACHER
AUTOSPRINTER MARSEILLE,
MULTICLEAN M3,
MAGASIN BTL POUR WILLIAM SAURIN,
ANSOLIVE,MME SENGUL TOPELI
VEGEDRY,
GROUPE ABCD NUTRITIO N,ALEXIS ROBERT
CONSERVERIE DAVIN,SANDRINE FACON
LA FERME DE LOUIS,DAMIEN MERCIER
EXO 13,
D'AUCY ORLEANS,
BEIJING CLR CEREALS,OILS & FOODSTUFFS CO.,LTD,CASSIE
AGROFIRMA POLE LTD.,JEAN LOUIS LAMAU
EARL DES LACS,M MINCHIN
SCEA DE VARENCEY,M PIOT
DAUCY LE FAOUET,M. LEGAL
DAUCY LOCMINE,M. GUERIN
DAUCY CASTELMORON,M. SOUSTRE
SOBORIZ INDUSTRIE S.A,PATRICK BARJONET
MAGASIN BTL POUR WILLIAM SAURIN,
MAGASIN BTL POUR WILLIAM SAURIN,
BZ PULSES,
CORIMA - TRADCO,M. ALI / RACHID
GLOBAL GRAINS AND INGREDIENTS LIMITED,
STEPHANE PORCS,
FGS INGREDIENTS LTD,HERMANN COGESER
LA FERME PASTIERE,NICOLAS EL DATTARI
ILTA ALIMENTARE SPA,JACOPO CORRENTE CENEDESE
VITAL,
UNIDEX T.a.v.,Esmee Janssen
BEENDHI SAS,
AGROMA,mr aboulghazi / mme Benattou
L'ATELIER V - VEGGIE GOOD DAY,
SOCOFRAM,
VIVESCIA,
EKIBIO,E. BONIN - A-L QUIBLIER
EKIBIO CHASSE-SUR-RHONE,
BIOVIVER CONSERVERIE,C PAOLINI ou P DAUBIE
BIOVIVER DAMAZAN,
SMDV,
SARL FIRSTPELLETS,ANGELIQUE DUTOUR
NISSHO BUSSAN KAISHA, LTD.,
AGRIBIO UNION,
SAVEUR DE METS,
OCCITAL DISTRIBUTION,M BELLALIA
SCEA DU MAS PETIT,REMI BASTIDE
SCA CULTURES FRANCE CHAMPIGNONS,
UNION SEINEYONNE,
NUOVA ILTA S.r.l,DAVIDE GOBESSI
GFI - GLOBAL FOOD AND INGREDIENTS INC,
SCHRUPP LLC,JAMES
PROGRAIN ORGANIC NL BV,
ZATAAR,
BIOVIVER PERIGNY,
MONTEAGLE INTERNATIONAL (UK) LTD,
SUD PALETTES,
TRANSPORT COQUELLE PEYROT,
LINYI YUWANG VEGETABLE PROTEIN CO., Ltd,MA JUN
REITZEL LA HERSE SAS,
REITZEL LA HERSE SAS,
LOMAGNE PRESTATION,DELPHINE RICHARD
CHELMER FOODS LIMITED,FUZAYL BOBOEV
AIB FOODS LTD,COGESER
LE FALAFEL PRADO,EARL MIAMI SUD
MEDIACO VRAC,
LEA NATURE ,
ARKEA CREDIT BAIL,SONIA ALIX-GILMERT
JPAC SARL,Nathalie de la GIRONIERE
MALHERBE BRETAGNE,
GO FOOD,
SARL AFA CONSERVE,ALONSGAR
RUBY TRADING B.V.,
SARL SAGRIFOOD IMPORT EXPORT,ALONSGAR
ACKERMAN MARKETING INC,
ULTRACONGELADOS DE CORTES SLU,ALONSGAR
ECO SPECIALITY (DALIAN) CORPORATION LTD,
SAS MAISON ESCOURROU,Jean-Yves PRADIER
LOFRESE SPA,FRANCO SPORTELLI
SLDN CANNEBIERE,M EL KEURTI
G&C TRADING,GAETAN TEREC
AGRIFREEZ,CEDRIC DUMONT
KERAMIS,Beno�t ROBERT
TG D'OC,Henri Boyer
S.A.S DES ETS FAYOS,BERNARD SHOURICK
SEVAN AB,CHRISTOPHE MAROUTIAN
CALLERIS SNC DI CALLERIS GIOVANNO & C,
MERRET- STG,CHAFIK KHACHACH
EGETRA,ARNAUD BERTIN
